"","SchoolName","City","State","District","Award","Model"
"493","CRAMER","CAMDEN","NJ","CAMDEN CITY",36,"Transformation"
"494","TRENTON CENTRAL HIGH","TRENTON","NJ","TRENTON",132,"Transformation"
"495","NEWARK VOCATIONAL H S","NEWARK","NJ","NEWARK",96,"Transformation"
"496","HENRY SNYDER","JERSEY CITY","NJ","JERSEY CITY",216,"Turnaround"
"497","ABRAHAM CLARK HIGH","ROSELLE","NJ","ROSELLE BOROUGH",133,"Transformation"
"498","CENTRAL","NEWARK","NJ","NEWARK",203,"Transformation"
"499","R. SARRACINO MIDDLE","SOCORRO","NM","SOCORRO CONSOLIDATED SCHOOLS",644,"Transformation"
"500","LAGUNA-ACOMA HIGH","NEW LAGUNA","NM","GRANTS-CIBOLA COUNTY SCHOOLS",120,"Transformation"
"501","EL CAMINO REAL ACADEMY","ALBUQUERQUE","NM","ALBUQUERQUE PUBLIC SCHOOLS",33,"Transformation"
"503","CROWNPOINT HIGH","CROWNPOINT","NM","GALLUP-MCKINLEY CTY SCHOOLS",224,"Transformation"
"504","ERNIE PYLE MIDDLE","ALBUQUERQUE","NM","ALBUQUERQUE PUBLIC SCHOOLS",224,"Transformation"
"506","RAMIREZ THOMAS ELEM","SANTA FE","NM","SANTA FE PUBLIC SCHOOLS",74,"Turnaround"
"507","NEWCOMB HIGH","NEWCOMB","NM","CENTRAL CONSOLIDATED SCHOOLS",120,"Transformation"
"509","LYBROOK ELEMENTARY","CUBA","NM","JEMEZ MOUNTAIN PUBLIC SCHOOLS",381,"Transformation"
"510","NASCHITTI ELEMENTARY","SHEEP SPRINGS","NM","CENTRAL CONSOLIDATED SCHOOLS",381,"Transformation"
"512","ECHO LODER ELEMENTARY SCHOOL","RENO","NV","WASHOE COUNTY SCHOOL DISTRICT",333,"Transformation"
"513","RANCHO HIGH SCHOOL","NORTH LAS VEGAS","NV","CLARK COUNTY SCHOOL DISTRICT",2,"Transformation"
"514","WILLIAM O'BRIEN MIDDLE SCHOOL","RENO","NV","WASHOE COUNTY SCHOOL DISTRICT",376,"Transformation"
"515","KIT CARSON ELEMENTARY SCHOOL","LAS VEGAS","NV","CLARK COUNTY SCHOOL DISTRICT",550,"Turnaround"
"516","GLENN DUNCAN ELEMENTARY SCHOOL","RENO","NV","WASHOE COUNTY SCHOOL DISTRICT",387,"Turnaround"
"517","ARCHIE CLAYTON MIDDLE SCHOOL","RENO","NV","WASHOE COUNTY SCHOOL DISTRICT",369,"Transformation"
"518","VETERANS MEMORIAL ELEMENTARY SCHOOL","RENO","NV","WASHOE COUNTY SCHOOL DISTRICT",336,"Transformation"
"519","GEORGE L DILWORTH MIDDLE SCHOOL","SPARKS","NV","WASHOE COUNTY SCHOOL DISTRICT",429,"Transformation"
"520","EAGLE VALLEY MIDDLE SCHOOL","CARSON CITY","NV","CARSON CITY SCHOOL DISTRICT",481,"Transformation"
"521","SMITHRIDGE ELEMENTARY SCHOOL","RENO","NV","WASHOE COUNTY SCHOOL DISTRICT",424,"Turnaround"
"522","SOUTH PARK HIGH SCHOOL","BUFFALO","NY","BUFFALO CITY SCHOOL DISTRICT",224,"Transformation"
"523","WILLIAM E GRADY VOCATIONAL HIGH SCHOOL","BROOKLYN","NY","NEW YORK CITY GEOGRAPHIC DISTRICT #21",95,"Transformation"
"524","LONG ISLAND CITY HIGH SCHOOL","LONG ISLAND CITY","NY","NEW YORK CITY GEOGRAPHIC DISTRICT #30",175,"Transformation"
"525","ROOSEVELT HIGH SCHOOL","YONKERS","NY","YONKERS CITY SCHOOL DISTRICT",224,"Transformation"
"526","Robert Brown High School of Construction and Design","Rochester","NY","Rochester City School District",167,"Turnaround"
"527","BREAD & ROSES INTEGRATED ARTS HIGH SCHOOL","NEW YORK","NY","NEW YORK CITY GEOGRAPHIC DISTRICT # 5",591,"Transformation"
"528","DELAWARE ELEMENTARY SCHOOL","SYRACUSE","NY","SYRACUSE CITY SCHOOL DISTRICT",224,"Transformation"
"529","INTERNATIONAL SCHOOL","BUFFALO","NY","BUFFALO CITY SCHOOL DISTRICT",224,"Transformation"
"530","FRANKLIN D ROOSEVELT HIGH SCHOOL","BROOKLYN","NY","NEW YORK CITY GEOGRAPHIC DISTRICT #20",175,"Transformation"
"531","QUEENS VOCATIONAL AND TECHNICAL HIGH SCHOOL","LONG ISLAND CITY","NY","NEW YORK CITY GEOGRAPHIC DISTRICT #24",87,"Transformation"
"532","EMERSON MIDDLE SCHOOL","YONKERS","NY","YONKERS CITY SCHOOL DISTRICT",224,"Turnaround"
"533","Vanguard Collegiate High School","Rochester","NY","Rochester City School District",67,"Turnaround"
"534","CHELSEA CAREER AND TECHNICAL EDUCATION HIGH SCHOOL","NEW YORK","NY","NEW YORK CITY GEOGRAPHIC DISTRICT # 2",639,"Transformation"
"535","GLOBAL MEDIA ARTS HS AT FRANKLIN","ROCHESTER","NY","ROCHESTER CITY SCHOOL DISTRICT",99,"Turnaround"
"536","DR MARTIN LUTHER KING, JR MULTICULTURAL INSTITUTE","BUFFALO","NY","BUFFALO CITY SCHOOL DISTRICT",190,"Transformation"
"537","FLUSHING HIGH SCHOOL","FLUSHING","NY","NEW YORK CITY GEOGRAPHIC DISTRICT #25",175,"Transformation"
"538","COBBLE HILL SCHOOL OF AMERICAN STUDIES","BROOKLYN","NY","NEW YORK CITY GEOGRAPHIC DISTRICT #15",649,"Transformation"
"539","HUGHES ELEMENTARY SCHOOL","SYRACUSE","NY","SYRACUSE CITY SCHOOL DISTRICT",224,"Transformation"
"540","UNITY CENTER FOR URBAN TECHNOLOGIES","NEW YORK","NY","NEW YORK CITY GEOGRAPHIC DISTRICT # 2",546,"Transformation"
"541","EAST HIGH SCHOOL","ROCHESTER","NY","ROCHESTER CITY SCHOOL DISTRICT",206,"Transformation"
"542","BENNETT HIGH SCHOOL","BUFFALO","NY","BUFFALO CITY SCHOOL DISTRICT",224,"Transformation"
"543","AUTOMOTIVE HIGH SCHOOL","BROOKLYN","NY","NEW YORK CITY GEOGRAPHIC DISTRICT #14",53,"Transformation"
"544","Rochester STEM High School","Rochester","NY","Rochester City School District",186,"Turnaround"
"545","SCHOOL FOR GLOBAL STUDIES","BROOKLYN","NY","NEW YORK CITY GEOGRAPHIC DISTRICT #15",604,"Transformation"
"546","GEORGE FOWLER HIGH SCHOOL","SYRACUSE","NY","SYRACUSE CITY SCHOOL DISTRICT",224,"Transformation"
"547","WOODLAND HILLS SCHOOL","CLEVELAND","OH","CLEVELAND MUNICIPAL",518,"Turnaround"
"548","CRITTENTON COMMUNITY SCHOOL","COLUMBUS","OH","CRITTENTON COMMUNITY SCHOOL",238,"Transformation"
"549","EAST HIGH SCHOOL","YOUNGSTOWN","OH","YOUNGSTOWN CITY SCHOOLS",570,"Transformation"
"550","FRANKLIN D. ROOSEVELT","CLEVELAND","OH","CLEVELAND MUNICIPAL",520,"Turnaround"
"551","DUNBAR HIGH SCHOOL","DAYTON","OH","DAYTON CITY",292,"Transformation"
"552","GLENVILLE HIGH SCHOOL","CLEVELAND","OH","CLEVELAND MUNICIPAL",499,"Turnaround"
"553","WEST HIGH SCHOOL","COLUMBUS","OH","COLUMBUS CITY",630,"Transformation"
"554","WOODWARD CAREER TECHNICAL HIGH SCHOOL","CINCINNATI","OH","CINCINNATI CITY",224,"Transformation"
"555","CHAMPION MIDDLE SCHOOL","COLUMBUS","OH","COLUMBUS CITY",16,"Transformation"
"556","ROTHENBERG PREPARATORY ACADEMY","CINCINNATI","OH","CINCINNATI CITY",632,"Transformation"
"557","KEIFER ALTERNATIVE CENTER","SPRINGFIELD","OH","SPRINGFIELD CITY",141,"Transformation"
"558","LINCOLN-WEST HIGH SCHOOL","CLEVELAND","OH","CLEVELAND MUNICIPAL",29,"Turnaround"
"559","BELMONT HIGH SCHOOL","DAYTON","OH","DAYTON CITY",292,"Transformation"
"560","EAST TECHNICAL HIGH SCHOOL","CLEVELAND","OH","CLEVELAND MUNICIPAL",29,"Turnaround"
"561","WEINLAND PARK ELEMENTARY SCHOOL","COLUMBUS","OH","COLUMBUS CITY",582,"Transformation"
"562","VIRTUAL HIGH SCHOOL","CINCINNATI","OH","CINCINNATI CITY",566,"Transformation"
"563","BELLEFAIRE","UNIVERSITY HTS","OH","CLEVELAND HEIGHTS-UNIVERSITY HEIGHTS CITY",514,"Transformation"
"564","GEORGE HAYS - JENNIE PORTER","CINCINNATI","OH","CINCINNATI CITY",28,"Transformation"
"565","PATRICK HENRY SCHOOL","CLEVELAND","OH","CLEVELAND MUNICIPAL",357,"Transformation"
"566","PROGRESSIVE ACADEMY","LIMA","OH","LIMA CITY",164,"Transformation"
"567","LUIS MUNOZ MARIN SCHOOL","CLEVELAND","OH","CLEVELAND MUNICIPAL",357,"Transformation"
"568","ALUM CREST HIGH SCHOOL","COLUMBUS","OH","COLUMBUS CITY",557,"Transformation"
"569","COLLINWOOD HIGH SCHOOL","CLEVELAND","OH","CLEVELAND MUNICIPAL",29,"Turnaround"
"570","SOUTHMOOR MIDDLE SCHOOL","COLUMBUS","OH","COLUMBUS CITY",80,"Transformation"
"571","WILLIAM H TAFT ELEMENTARY SCHOOL","CINCINNATI","OH","CINCINNATI CITY",3,"Transformation"
"572","MARTIN LUTHER KING JR CAREER CAMPUS","CLEVELAND","OH","CLEVELAND MUNICIPAL",435,"Transformation"
"573","SCHOLARTS PREPARATORY AND CAREER CENTER FOR CHILDR","COLUMBUS","OH","SCHOLARTS PREPARATORY AND CAREER CENTER FOR CHILDREN",381,"Transformation"
"574","ODYSSEY: SCHOOL OF POSSIBILITIES","YOUNGSTOWN","OH","YOUNGSTOWN CITY SCHOOLS",613,"Transformation"
"575","MARY B MARTIN SCHOOL","CLEVELAND","OH","CLEVELAND MUNICIPAL",518,"Turnaround"
"576","MEADOWDALE HIGH SCHOOL","DAYTON","OH","DAYTON CITY",292,"Transformation"
"577","JOHN F KENNEDY HIGH SCHOOL","CLEVELAND","OH","CLEVELAND MUNICIPAL",29,"Turnaround"
"578","WELCOME CENTER HIGH","COLUMBUS","OH","COLUMBUS CITY",14,"Transformation"
"579","CARL & LOUIS STOKES CENTRAL ACADEMY","CLEVELAND","OH","CLEVELAND MUNICIPAL",357,"Transformation"
"580","LINDEN-MCKINLEY HIGH SCHOOL","COLUMBUS","OH","COLUMBUS CITY",115,"Transformation"
"581","SOUTH AVONDALE ELEMENTARY SCHOOL","CINCINNATI","OH","CINCINNATI CITY",648,"Transformation"
"582","GILCREASE MS","TULSA","OK","TULSA",129,"Transformation"
"583","CLINTON MS","TULSA","OK","TULSA",41,"Transformation"
"584","F.D. MOON ACADEMY","OKLAHOMA CITY","OK","OKLAHOMA CITY",124,"Transformation"
"585","WILL ROGERS HS","TULSA","OK","TULSA",52,"Transformation"
"586","CENTRAL HS","TULSA","OK","TULSA",593,"Transformation"
"587","CRUTCHO PUBLIC SCHOOL","OKLAHOMA CITY","OK","CRUTCHO",642,"Transformation"
"588","NATHAN HALE HS","TULSA","OK","TULSA",15,"Transformation"
"589","DOUGLASS MS","OKLAHOMA CITY","OK","OKLAHOMA CITY",40,"Transformation"
"590","EAST CENTRAL HS","TULSA","OK","TULSA",22,"Transformation"
"591","U. S. GRANT HS","OKC","OK","OKLAHOMA CITY",157,"Turnaround"
"592","SPANISH-ENGLISH INTERNATIONAL SCHOOL","PORTLAND","OR","PORTLAND SD 1J",553,"Transformation"
"593","ONTARIO HIGH SCHOOL","ONTARIO","OR","ONTARIO SD 8C",50,"Transformation"
"594","HALLMAN ELEMENTARY SCHOOL","SALEM","OR","SALEM-KEIZER SD 24J",633,"Transformation"
"595","EAGLERIDGE HIGH SCHOOL","KLAMATH FALLS","OR","KLAMATH FALLS CITY SCHOOLS",449,"Transformation"
"596","MCKAY HIGH SCHOOL","SALEM","OR","SALEM-KEIZER SD 24J",199,"Transformation"
"597","ARTS, COMMUNICATION & TECHNOLOGY SCHOOL","PORTLAND","OR","PORTLAND SD 1J",553,"Transformation"
"598","MADRAS HIGH SCHOOL","MADRAS","OR","JEFFERSON COUNTY SD 509J",57,"Transformation"
"599","ROBERTS HIGH SCHOOL","SALEM","OR","SALEM-KEIZER SD 24J",447,"Transformation"
"600","PURSUIT OF WELLNESS EDUCATION AT ROOSEVELT CAMPUS","PORTLAND","OR","PORTLAND SD 1J",58,"Transformation"
"601","OREGON CITY SERVICE LEARNING ACADEMY","OREGON CITY","OR","OREGON CITY SD 62",347,"Transformation"
"602","MARSHALL HIGH SCHOOL","BEND","OR","BEND-LAPINE ADMINISTRATIVE SD 1",540,"Transformation"
"603","EARLY COLLEGE HIGH SCHOOL","SALEM","OR","SALEM-KEIZER SD 24J",447,"Transformation"
"604","SAYRE WILLIAM L MS","PHILADELPHIA","PA","PHILADELPHIA CITY SD",534,"Transformation"
"605","CENTRAL DAUPHIN EAST SHS","HARRISBURG","PA","CENTRAL DAUPHIN SD",508,"Transformation"
"606","KING MARTIN LUTHER HS","PHILADELPHIA","PA","PHILADELPHIA CITY SD",559,"Transformation"
"607","DOUGLAS STEPHEN A SCH","PHILADELPHIA","PA","PHILADELPHIA CITY SD",277,"Restart"
"608","PARK LANE EL SCH","DARBY","PA","WILLIAM PENN SD",262,"Transformation"
"609","FRANCIS D RAUB MS","ALLENTOWN","PA","ALLENTOWN CITY SD",381,"Transformation"
"610","LOCKE ALAIN SCH","PHILADELPHIA","PA","PHILADELPHIA CITY SD",314,"Transformation"
"611","ALCORN JAMES SCH","PHILADELPHIA","PA","PHILADELPHIA CITY SD",284,"Transformation"
"612","STEELTON-HIGHSPIRE HS","STEELTON","PA","STEELTON-HIGHSPIRE SD",261,"Turnaround"
"613","PERSEUS HOUSE CS OF EXCELLENCE","ERIE","PA","PERSEUS HOUSE CS OF EXCELLENCE",497,"Transformation"
"614","GERMANTOWN HS","PHILADELPHIA","PA","PHILADELPHIA CITY SD",567,"Transformation"
"615","MOUNT UNION AREA SHS","MOUNT UNION","PA","MOUNT UNION AREA SD",589,"Transformation"
"616","ROONEY ARTHUR J MS","PITTSBURGH","PA","PITTSBURGH SD",227,"Closure"
"617","ROXBOROUGH HS","PHILADELPHIA","PA","PHILADELPHIA CITY SD",471,"Transformation"
"618","HAND MS","LANCASTER","PA","LANCASTER SD",412,"Turnaround"
"619","LANGLEY HS","PITTSBURGH","PA","PITTSBURGH SD",272,"Transformation"
"620","TREXLER MS","ALLENTOWN","PA","ALLENTOWN CITY SD",241,"Transformation"
"621","UNIVERSITY CITY HS","PHILADELPHIA","PA","PHILADELPHIA CITY SD",618,"Turnaround"
"622","SMEDLEY FRANKLIN SCH","PHILADELPHIA","PA","PHILADELPHIA CITY SD",296,"Restart"
"623","PENN WOOD HS - GREEN AVE CAMPUS","LANSDOWNE","PA","WILLIAM PENN SD",456,"Transformation"
"624","HARRISON-MORTON MS","ALLENTOWN","PA","ALLENTOWN CITY SD",291,"Transformation"
"625","WEST PHILADELPHIA HS","PHILADELPHIA","PA","PHILADELPHIA CITY SD",489,"Transformation"
"626","HARRITY WILLIAM F SCH","PHILADELPHIA","PA","PHILADELPHIA CITY SD",645,"Restart"
"627","ACADEMY PARK HS","SHARON HILL","PA","SOUTHEAST DELCO SD",638,"Transformation"
"628","WEST PHILA. ACHIEVEMENT CES","PHILADELPHIA","PA","WEST PHILA. ACHIEVEMENT CES",276,"Transformation"
"629","FRANKFORD HS","PHILADELPHIA","PA","PHILADELPHIA CITY SD",562,"Transformation"
"630","MCKEESPORT AREA SHS","MC KEESPORT","PA","MCKEESPORT AREA SD",37,"Transformation"
"631","OLIVER HS","PITTSBURGH","PA","PITTSBURGH SD",410,"Transformation"
"632","VAUX ROBERTS HS","PHILADELPHIA","PA","PHILADELPHIA CITY SD",364,"Turnaround"
"633","CAREER TECHNOLOGY ACADEMY","HARRISBURG","PA","HARRISBURG CITY SD",267,"Closure"
"634","CLEMENTE ROBERTO MS","PHILADELPHIA","PA","PHILADELPHIA CITY SD",282,"Turnaround"
"635","FELS SAMUEL HS","PHILADELPHIA","PA","PHILADELPHIA CITY SD",643,"Transformation"
"636","LOUIS E DIERUFF HS","ALLENTOWN","PA","ALLENTOWN CITY SD",381,"Transformation"
"637","ALLEN DR ETHEL SCH","PHILADELPHIA","PA","PHILADELPHIA CITY SD",239,"Turnaround"
"638","FELTONVILLE INTERMEDIATE SCHOOL","PHILADELPHIA","PA","PHILADELPHIA CITY SD",237,"Transformation"
"639","PENN WOOD MS","DARBY","PA","WILLIAM PENN SD",265,"Transformation"
"640","CENTRAL EL SCH","ALLENTOWN","PA","ALLENTOWN CITY SD",475,"Transformation"
"641","SOUTH PHILADELPHIA HS","PHILADELPHIA","PA","PHILADELPHIA CITY SD",432,"Transformation"
"642","OLNEY HS WEST","PHILADELPHIA","PA","PHILADELPHIA CITY SD",255,"Transformation"
"643","BRASHEAR HS","PITTSBURGH","PA","PITTSBURGH SD",253,"Transformation"
"644","EDISON HS/FAREIRA SKILLS","PHILADELPHIA","PA","PHILADELPHIA CITY SD",1,"Transformation"
"645","MCCASKEY CAMPUS","LANCASTER","PA","LANCASTER SD",446,"Transformation"
"646","WESTINGHOUSE HS","PITTSBURGH","PA","PITTSBURGH SD",443,"Transformation"
"647","STETSON JOHN B MS","PHILADELPHIA","PA","PHILADELPHIA CITY SD",603,"Restart"
"648","DUQUESNE CONSOLIDATED SCH","DUQUESNE","PA","DUQUESNE CITY SD",398,"Transformation"
"649","DAROFF SAMUEL SCH","PHILADELPHIA","PA","PHILADELPHIA CITY SD",483,"Restart"
"650","BLUFORD GUION EL SCH","PHILADELPHIA","PA","PHILADELPHIA CITY SD",610,"Restart"
"651","WILLIAM ALLEN HS","ALLENTOWN","PA","ALLENTOWN CITY SD",291,"Transformation"
"652","CLYMER GEORGE SCH","PHILADELPHIA","PA","PHILADELPHIA CITY SD",315,"Transformation"
"653","MANN WILLIAM B SCH","PHILADELPHIA","PA","PHILADELPHIA CITY SD",564,"Restart"
"654","TURKEYFOOT VALLEY AREA JSHS","CONFLUENCE","PA","TURKEYFOOT VALLEY AREA SD",263,"Transformation"
"655","PHILADELPHIA MONTESSORI CS","PHILADELPHIA","PA","PHILADELPHIA MONTESSORI CS",269,"Transformation"
"656","GRATZ SIMON HS","PHILADELPHIA","PA","PHILADELPHIA CITY SD",389,"Transformation"
"657","PENN HILLS SHS","PITTSBURGH","PA","PENN HILLS SD",32,"Transformation"
"658","KING M L EL SCH","PITTSBURGH","PA","PITTSBURGH SD",234,"Transformation"
"659","LINCOLN HS","PHILADELPHIA","PA","PHILADELPHIA CITY SD",102,"Transformation"
"660","PERRY TRADITIONAL ACADEMY","PITTSBURGH","PA","PITTSBURGH SD",279,"Transformation"
"661","REYNOLDS MS","LANCASTER","PA","LANCASTER SD",404,"Transformation"
"668","RIDGELAND MIDDLE","RIDGELAND","SC","JASPER 01",428,"Transformation"
"669","J V MARTIN JR HIGH","DILLON","SC","DILLON 02",611,"Transformation"
"670","DENMARK-OLAR MIDDLE","DENMARK","SC","BAMBERG 02",427,"Transformation"
"671","KINGSTREE JR HIGH","KINGSTREE","SC","WILLIAMSBURG 01",469,"Transformation"
"672","EAU CLAIRE HIGH","COLUMBIA","SC","RICHLAND 01",517,"Transformation"
"673","ESTILL HIGH","ESTILL","SC","HAMPTON 02",384,"Transformation"
"674","MANNING JUNIOR HIGH","MANNING","SC","CLARENDON 02",491,"Transformation"
"675","DENMARK OLAR HIGH","DENMARK","SC","BAMBERG 02",427,"Transformation"
"676","WHITLOCK JR HIGH","SPARTANBURG","SC","SPARTANBURG 07",244,"Closure"
"677","WEST LEE ELEM","REMBERT","SC","LEE 01",507,"Transformation"
"678","ESTILL MIDDLE","ESTILL","SC","HAMPTON 02",385,"Transformation"
"679","N CHARLESTON HIGH","NORTH CHARLESTON","SC","CHARLESTON 01",545,"Transformation"
"680","ALLENDALE-FAIRFAX MIDDLE","FAIRFAX","SC","ALLENDALE 01",354,"Transformation"
"681","CARVER JR HIGH","SPARTANBURG","SC","SPARTANBURG 07",79,"Transformation"
"682","HARDEEVILLE MIDDLE/HIGH","HARDEEVILLE","SC","JASPER 01",431,"Transformation"
"683","CAROLINA HIGH","GREENVILLE","SC","GREENVILLE 01",609,"Transformation"
"684","MORNINGSIDE MIDDLE","NORTH CHARLESTON","SC","CHARLESTON 01",513,"Transformation"
"685","FAIRFAX ELEM","FAIRFAX","SC","ALLENDALE 01",326,"Transformation"
"686","C A JOHNSON PREPATORY ACAD","COLUMBIA","SC","RICHLAND 01",517,"Transformation"
"688","FAMILY IMMERSION CENTER MIDDLE - 53","SIOUX FALLS","SD","SIOUX FALLS SCHOOL DISTRICT 49-5",146,"Turnaround"
"689","NEW UNDERWOOD HIGH SCHOOL - 01","NEW UNDERWOOD","SD","NEW UNDERWOOD SCHOOL DISTRICT 51-3",295,"Transformation"
"690","NORTHSIDE HIGH SCHOOL","MEMPHIS","TN","MEMPHIS CITY SCHOOL DISTRICT",251,"Turnaround"
"691","HAMILTON HIGH SCHOOL","MEMPHIS","TN","MEMPHIS CITY SCHOOL DISTRICT",258,"Transformation"
"692","HOWARD ACADEMY OF ACADEMICS TECHNOLOGY","CHATTANOOGA","TN","HAMILTON COUNTY SCHOOL DISTRCT",460,"Turnaround"
"693","TREZEVANT HIGH SCHOOL","MEMPHIS","TN","MEMPHIS CITY SCHOOL DISTRICT",270,"Transformation"
"694","FRAYSER MIDDLE/ HIGH SCHOOL","MEMPHIS","TN","MEMPHIS CITY SCHOOL DISTRICT",240,"Transformation"
"695","HIXSON HIGH SCHOOL","HIXSON","TN","HAMILTON COUNTY SCHOOL DISTRCT",454,"Transformation"
"696","SHEFFIELD HIGH SCHOOL","MEMPHIS","TN","MEMPHIS CITY SCHOOL DISTRICT",303,"Turnaround"
"697","MANASSAS HIGH SCHOOL","MEMPHIS","TN","MEMPHIS CITY SCHOOL DISTRICT",254,"Turnaround"
"698","MOUNT PLEASANT HIGH SCHOOL","MT PLEASANT","TN","MAURY COUNTY SCHOOL DISTRICT",532,"Transformation"
"699","RALEIGH EGYPT MIDDLE SCHOOL","MEMPHIS","TN","MEMPHIS CITY SCHOOL DISTRICT",13,"Turnaround"
"700","KINGSBURY MIDDLE/HIGH SCHOOL","MEMPHIS","TN","MEMPHIS CITY SCHOOL DISTRICT",249,"Transformation"
"701","AUSTIN EAST HIGH/MAGNET SCHOOL","KNOXVILLE","TN","KNOX COUNTY SCHOOL DISTRICT",608,"Turnaround"
"750","ODYSSEY ELEMENTARY","OGDEN","UT","OGDEN DISTRICT",411,"Transformation"
"751","BLUFF SCHOOL","BLUFF","UT","SAN JUAN DISTRICT",260,"Transformation"
"752","JAMES MADISON ELEMENTARY","OGDEN","UT","OGDEN DISTRICT",411,"Transformation"
"753","NORTHWEST MIDDLE","SALT LAKE CITY","UT","SALT LAKE DISTRICT",571,"Transformation"
"754","DEE SCHOOL","OGDEN","UT","OGDEN DISTRICT",411,"Transformation"
"755","GLENDALE MIDDLE","SALT LAKE CITY","UT","SALT LAKE DISTRICT",571,"Transformation"
"756","GRANGER HIGH","WEST VALLEY CITY","UT","GRANITE DISTRICT",511,"Transformation"
"757","FRED D. THOMPSON MIDDLE","RICHMOND","VA","RICHMOND CITY PBLC SCHS",383,"Transformation"
"758","LAKE TAYLOR MIDDLE","NORFOLK","VA","NORFOLK CITY PBLC SCHS",92,"Transformation"
"759","FRIES MIDDLE","FRIES","VA","GRAYSON CO PBLC SCHS",381,"Transformation"
"760","T.C. WILLIAMS HIGH","ALEXANDRIA","VA","ALEXANDRIA CITY PBLC SCHS",224,"Transformation"
"761","WESTSIDE ELEM.","ROANOKE","VA","ROANOKE CITY PBLC SCHS",433,"Transformation"
"762","PRINCE EDWARD COUNTY HIGH","FARMVILLE","VA","PRINCE EDWARD CO PBLC SCHS",378,"Transformation"
"763","CENTRAL HIGH","KING AND QUEEN C H","VA","KING AND QUEEN CO PBLC SCHS",496,"Transformation"
"764","LANGSTON FOCUS SCHOOL","DANVILLE","VA","DANVILLE CITY PBLC SCHS",628,"Restart"
"765","ARMSTRONG HIGH","RICHMOND","VA","RICHMOND CITY PBLC SCHS",594,"Restart"
"766","PEABODY MIDDLE","PETERSBURG","VA","PETERSBURG CITY PBLC SCHS",359,"Transformation"
"767","NEW BRIDGE SCHOOL","RICHMOND","VA","HENRICO CO PBLC SCHS",380,"Closure"
"768","COLONIAL BEACH HIGH","COLONIAL BEACH","VA","COLONIAL BEACH PBLC SCHS",426,"Transformation"
"769","ELLEN W. CHAMBLISS ELEM.","WAKEFIELD","VA","SUSSEX CO PBLC SCHS",320,"Restart"
"770","THOMAS C. BOUSHALL MIDDLE","RICHMOND","VA","RICHMOND CITY PBLC SCHS",445,"Restart"
"771","RUFFNER MIDDLE","NORFOLK","VA","NORFOLK CITY PBLC SCHS",93,"Transformation"
"772","VA. RANDOLPH COMM. HIGH","GLEN ALLEN","VA","HENRICO CO PBLC SCHS",380,"Closure"
"773","JAMES S. RUSSELL MIDDLE","LAWRENCEVILLE","VA","BRUNSWICK CO PBLC SCHS",374,"Transformation"
"774","SUSSEX CENTRAL MIDDLE","SUSSEX","VA","SUSSEX CO PBLC SCHS",401,"Restart"
"775","MOUNT ABRAHAM UHSD #28","BRISTOL","VT","MOUNT ABRAHAM UHSD #28",232,"Transformation"
"776","NORTHFIELD ELEMENTARY SCHOOL","NORTHFIELD","VT","NORTHFIELD SCHOOL DISTRICT",230,"Transformation"
"777","H. O. WHEELER SCHOOL","BURLINGTON","VT","BURLINGTON SCHOOL DISTRICT",299,"Transformation"
"778","LAMOILLE UHSD #18","HYDE PARK","VT","LAMOILLE UHSD #18",236,"Transformation"
"779","WINOOSKI HIGH SCHOOL","WINOOSKI","VT","WINOOSKI SCHOOL DISTRICT",144,"Transformation"
"780","ST. JOHNSBURY SCHOOL","ST JOHNSBURY","VT","SAINT JOHNSBURY SCHOOL DISTRICT",306,"Transformation"
"781","JOHNSON ELEMENTARY SCHOOL","JOHNSON","VT","JOHNSON SCHOOL DISTRICT",202,"Transformation"
"782","WINDSOR HIGH SCHOOL","WINDSOR","VT","WINDSOR SCHOOL DISTRICT",246,"Transformation"
"783","RUTLAND SENIOR HIGH SCHOOL","RUTLAND","VT","RUTLAND CITY SCHOOL DISTRICT",310,"Transformation"
"784","FAIR HAVEN UHSD #16","FAIR HAVEN","VT","FAIR HAVEN UHSD #16",274,"Transformation"
"785","STEWART","TACOMA","WA","TACOMA SCHOOL DISTRICT",123,"Turnaround"
"786","SUNNYSIDE HIGH SCHOOL","SUNNYSIDE","WA","SUNNYSIDE SCHOOL DISTRICT",135,"Transformation"
"787","TULALIP ELEMENTARY","MARYSVILLE","WA","MARYSVILLE SCHOOL DISTRICT",530,"Turnaround"
"788","CASCADE MIDDLE SCHOOL","SEATTLE","WA","HIGHLINE SCHOOL DISTRICT",526,"Transformation"
"789","ADAMS ELEMENTARY SCHOOL","YAKIMA","WA","YAKIMA SCHOOL DISTRICT",46,"Transformation"
"790","HAWTHORNE ELEMENTARY SCHOOL","SEATTLE","WA","SEATTLE PUBLIC SCHOOLS",406,"Transformation"
"791","MARYSVILLE MIDDLE SCHOOL","MARYSVILLE","WA","MARYSVILLE SCHOOL DISTRICT",30,"Transformation"
"792","GRANDVIEW MIDDLE SCHOOL","GRANDVIEW","WA","GRANDVIEW SCHOOL DISTRICT",20,"Transformation"
"793","WELLPINIT ELEMENTARY SCHOOL","WELLPINIT","WA","WELLPINIT SCHOOL DISTRICT",168,"Transformation"
"794","JASON LEE","TACOMA","WA","TACOMA SCHOOL DISTRICT",5,"Transformation"
"795","HIGH POINT ELEMENTARY SCHOOL","SEATTLE","WA","SEATTLE PUBLIC SCHOOLS",358,"Transformation"
